test,timestamp,raw_data
,1779038630.9342687,L:-18467 R:-10717
,1779038630.9362626,L:-18467 R:-10717
,1779038630.9373446,L:-18467 R:-10717
,1779038630.93931,L:-18467 R:-10717
,1779038630.9412901,L:-18467 R:-10717
,1779038630.9420795,L:-18467 R:-10717
,1779038630.9444923,L:-18467 R:-10717
,1779038630.9454875,L:-18467 R:-10717
,1779038630.9474912,L:-18467 R:-10717
,1779038630.9494026,L:-18467 R:-10717
,1779038630.9504387,L:-18467 R:-10717
,1779038630.952267,L:-18467 R:-10717
,1779038630.954345,L:-18467 R:-10717
,1779038630.9554324,L:-18467 R:-10717
,1779038630.957222,L:-18467 R:-10717
,1779038630.9593956,L:-18467 R:-10717
,1779038630.9604483,L:-18467 R:-10717
,1779038630.9623973,L:-18467 R:-10717
,1779038630.9643838,L:-18467 R:-10717
,1779038630.9653745,L:-18467 R:-10717
,1779038630.9673812,L:-18467 R:-10717
,1779038630.9693282,L:-18467 R:-10717
,1779038630.9704149,L:-18467 R:-10717
,1779038630.9724288,L:-18467 R:-10717
,1779038630.9742053,L:-18467 R:-10717
,1779038630.9753022,L:-18467 R:-10717
,1779038630.9774203,L:-18467 R:-10717
,1779038630.979365,L:-18467 R:-10717
,1779038630.9804173,L:-18467 R:-10717
,1779038630.9824347,L:-18467 R:-10717
,1779038630.9843597,L:-18467 R:-10717
,1779038630.9854612,L:-18467 R:-10717
,1779038630.9873922,L:-18467 R:-10717
,1779038630.9893355,L:-18467 R:-10717
,1779038630.9904547,L:-18467 R:-10717
,1779038630.992373,L:-18467 R:-10717
,1779038630.9933586,L:-18467 R:-10717
,1779038630.9952672,L:-18467 R:-10717
,1779038630.9972432,L:-18467 R:-10717
,1779038630.9982858,L:-18467 R:-10717
,1779038631.0003178,L:-18467 R:-10717
,1779038631.0022879,L:-18467 R:-10717
,1779038631.0033932,L:-18467 R:-10717
,1779038631.0053544,L:-18467 R:-10717
,1779038631.0072963,L:-18467 R:-10717
,1779038631.00835,L:-18467 R:-10717
,1779038631.0101552,L:-18467 R:-10717
,1779038631.0122588,L:-18467 R:-10717
,1779038631.0133913,L:-18467 R:-10717
,1779038631.015315,L:-18467 R:-10717
,1779038631.0171764,L:-18467 R:-10717
,1779038631.018145,L:-18467 R:-10717
,1779038631.0201347,L:-18467 R:-10717
,1779038631.0222757,L:-18467 R:-10717
,1779038631.023326,L:-18467 R:-10717
,1779038631.0253265,L:-18467 R:-10717
,1779038631.0264556,L:-18467 R:-10717
,1779038631.0284243,L:-18467 R:-10717
,1779038631.0303946,L:-18467 R:-10717
,1779038631.0323558,L:-18467 R:-10717
,1779038631.0333633,L:-18467 R:-10717
,1779038631.0354075,L:-18467 R:-10717
,1779038631.0372648,L:-18467 R:-10717
,1779038631.0382245,L:-18467 R:-10717
,1779038631.0403264,L:-18467 R:-10717
,1779038631.0414329,L:-18467 R:-10717
,1779038631.0434024,L:-18467 R:-10717
,1779038631.0453205,L:-18467 R:-10717
,1779038631.0463529,L:-18467 R:-10717
,1779038631.048321,L:-18467 R:-10717
,1779038631.0501246,L:-18467 R:-10717
,1779038631.0514214,L:-18467 R:-10717
,1779038631.0533721,L:-18467 R:-10717
,1779038631.055289,L:-18467 R:-10717
,1779038631.056376,L:-18467 R:-10717
,1779038631.0583286,L:-18467 R:-10717
,1779038631.0602975,L:-18467 R:-10717
,1779038631.0613856,L:-18467 R:-10717
,1779038631.0633612,L:-18467 R:-10717
,1779038631.065228,L:-18467 R:-10717
,1779038631.0663977,L:-18467 R:-10717
,1779038631.0683308,L:-18467 R:-10717
,1779038631.0702364,L:-18467 R:-10717
,1779038631.071316,L:-18467 R:-10717
,1779038631.0732517,L:-18467 R:-10717
,1779038631.0743172,L:-18467 R:-10717
,1779038631.0762844,L:-18467 R:-10717
,1779038631.0782647,L:-18467 R:-10717
,1779038631.0793645,L:-18467 R:-10717
,1779038631.0812917,L:-18467 R:-10717
,1779038631.083258,L:-18467 R:-10717
,1779038631.0842814,L:-18467 R:-10717
,1779038631.086532,L:-18467 R:-10717
,1779038631.0882258,L:-18467 R:-10717
,1779038631.0894115,L:-18467 R:-10717
,1779038631.0913508,L:-18467 R:-10717
,1779038631.0933173,L:-18467 R:-10717
,1779038631.0941432,L:-18467 R:-10717
,1779038631.096389,L:-18467 R:-10717
,1779038631.098364,L:-18467 R:-10717
,1779038631.0994034,L:-18467 R:-10717
,1779038631.1013212,L:-18467 R:-10717
,1779038631.1034813,L:-18467 R:-10717
,1779038631.1043901,L:-18467 R:-10717
,1779038631.1063545,L:-18467 R:-10717
,1779038631.108313,L:-18467 R:-10717
,1779038631.109357,L:-18467 R:-10717
,1779038631.1111486,L:-18467 R:-10717
,1779038631.1132276,L:-18467 R:-10717
,1779038631.1143749,L:-18467 R:-10717
,1779038631.1163328,L:-18467 R:-10717
,1779038631.1181366,L:-18467 R:-10717
,1779038631.119308,L:-18467 R:-10717
,1779038631.1210701,L:-18467 R:-10717
,1779038631.1223967,L:-18467 R:-10717
,1779038631.1243787,L:-18467 R:-10717
,1779038631.1263208,L:-18467 R:-10717
,1779038631.127309,L:-18467 R:-10717
,1779038631.129548,L:-18467 R:-10717
,1779038631.1311822,L:-18467 R:-10717
,1779038631.1321974,L:-18467 R:-10717
,1779038631.134082,L:-18467 R:-10717
,1779038631.1362915,L:-18467 R:-10717
,1779038631.1374266,L:-18467 R:-10717
,1779038631.1393375,L:-18467 R:-10717
,1779038631.1412907,L:-18467 R:-10717
,1779038631.1424372,L:-18467 R:-10717
,1779038631.1442542,L:-18467 R:-10717
,1779038631.146128,L:-18467 R:-10717
,1779038631.1473098,L:-18467 R:-10717
,1779038631.1493616,L:-18467 R:-10717
,1779038631.1513238,L:-18467 R:-10717
,1779038631.1523876,L:-18467 R:-10717
,1779038631.1543164,L:-18467 R:-10717
,1779038631.1562817,L:-18467 R:-10717
,1779038631.1572597,L:-18467 R:-10717
,1779038631.1593728,L:-18467 R:-10717
,1779038631.161319,L:-18467 R:-10717
,1779038631.1623473,L:-18467 R:-10717
,1779038631.1643293,L:-18467 R:-10717
,1779038631.1660862,L:-18467 R:-10717
,1779038631.1672263,L:-18467 R:-10717
,1779038631.169306,L:-18467 R:-10717
,1779038631.1712313,L:-18467 R:-10717
,1779038631.1723344,L:-18467 R:-10717
,1779038631.1743264,L:-18467 R:-10717
,1779038631.1753576,L:-18467 R:-10717
,1779038631.177341,L:-18467 R:-10717
,1779038631.1793044,L:-18467 R:-10717
,1779038631.1803265,L:-18467 R:-10717
,1779038631.182374,L:-18467 R:-10717
,1779038631.184332,L:-18467 R:-10717
,1779038631.1853607,L:-18467 R:-10717
,1779038631.1871686,L:-18467 R:-10717
,1779038631.1891062,L:-18467 R:-10717
,1779038631.190386,L:-18467 R:-10717
,1779038631.192385,L:-18467 R:-10717
,1779038631.1943095,L:-18467 R:-10717
,1779038631.1953444,L:-18467 R:-10717
,1779038631.1971457,L:-18467 R:-10717
,1779038631.1992626,L:-18467 R:-10717
,1779038631.2004163,L:-18467 R:-10717
,1779038631.2022943,L:-18467 R:-10717
,1779038631.204303,L:-18467 R:-10717
,1779038631.2053983,L:-18467 R:-10717
,1779038631.2073262,L:-18467 R:-10717
,1779038631.2093165,L:-18467 R:-10717
,1779038631.210301,L:-18467 R:-10717
,1779038631.2122767,L:-18467 R:-10717
,1779038631.2140555,L:-18467 R:-10717
,1779038631.215179,L:-18467 R:-10717
,1779038631.2173529,L:-18467 R:-10717
,1779038631.2192845,L:-18467 R:-10717
,1779038631.220178,L:-18467 R:-10717
,1779038631.222326,L:-18467 R:-10717
,1779038631.2234309,L:-18467 R:-10717
,1779038631.225414,L:-18467 R:-10717
,1779038631.2273338,L:-18467 R:-10717
,1779038631.22838,L:-18467 R:-10717
,1779038631.2303305,L:-18467 R:-10717
,1779038631.232174,L:-18467 R:-10717
,1779038631.2331889,L:-18467 R:-10717
,1779038631.2353096,L:-18467 R:-10717
,1779038631.2371569,L:-18467 R:-10717
,1779038631.2382872,L:-18467 R:-10717
,1779038631.240228,L:-18467 R:-10717
,1779038631.2420907,L:-18467 R:-10717
,1779038631.2431362,L:-18467 R:-10717
,1779038631.24517,L:-18467 R:-10717
,1779038631.247079,L:-18467 R:-10717
,1779038631.2482693,L:-18467 R:-10717
,1779038631.2502248,L:-18467 R:-10717
,1779038631.2522173,L:-18467 R:-10717
,1779038631.253311,L:-18467 R:-10717
,1779038631.2553356,L:-18467 R:-10717
,1779038631.2563365,L:-18467 R:-10717
,1779038631.2583036,L:-18467 R:-10717
,1779038631.2603068,L:-18467 R:-10717
,1779038631.2622445,L:-18467 R:-10717
,1779038631.263227,L:-18467 R:-10717
,1779038631.2653384,L:-18467 R:-10717
,1779038631.2672338,L:-18467 R:-10717
,1779038631.2683666,L:-18467 R:-10717
,1779038631.2703462,L:-18467 R:-10717
,1779038631.272303,L:-18467 R:-10717
,1779038631.2733707,L:-18467 R:-10717
,1779038631.2751422,L:-18467 R:-10717
,1779038631.2762067,L:-18467 R:-10717
,1779038631.2783852,L:-18467 R:-10717
,1779038631.2803576,L:-18467 R:-10717
,1779038631.2814,L:-18467 R:-10717
,1779038631.283333,L:-18467 R:-10717
,1779038631.285288,L:-18467 R:-10717
,1779038631.2863917,L:-18467 R:-10717
,1779038631.2883875,L:-18467 R:-10717
,1779038631.2901266,L:-18467 R:-10717
,1779038631.2912264,L:-18467 R:-10717
,1779038631.293394,L:-18467 R:-10717
,1779038631.295282,L:-18467 R:-10717
,1779038631.296353,L:-18467 R:-10717
,1779038631.298324,L:-18467 R:-10717
,1779038631.3001232,L:-18467 R:-10717
,1779038631.3014112,L:-18467 R:-10717
,1779038631.3033607,L:-18467 R:-10717
,1779038631.3044152,L:-18467 R:-10717
,1779038631.3063655,L:-18467 R:-10717
,1779038631.3083477,L:-18467 R:-10717
,1779038631.3093832,L:-18467 R:-10717
,1779038631.3113012,L:-18467 R:-10717
,1779038631.3132858,L:-18467 R:-10717
,1779038631.3142562,L:-18467 R:-10717
,1779038631.316323,L:-18467 R:-10717
,1779038631.3183389,L:-18467 R:-10717
,1779038631.320267,L:-18467 R:-10717
,1779038631.3213344,L:-18467 R:-10717
,1779038631.3233132,L:-18467 R:-10717
,1779038631.324442,L:-18467 R:-10717
,1779038631.326325,L:-18467 R:-10717
,1779038631.328283,L:-18467 R:-10717
,1779038631.3294203,L:-18467 R:-10717
,1779038631.331396,L:-18467 R:-10717
,1779038631.3333626,L:-18467 R:-10717
,1779038631.3344066,L:-18467 R:-10717
,1779038631.336305,L:-18467 R:-10717
,1779038631.338258,L:-18467 R:-10717
,1779038631.3393865,L:-18467 R:-10717
,1779038631.3413677,L:-18467 R:-10717
,1779038631.3433156,L:-18467 R:-10717
,1779038631.3443646,L:-18467 R:-10717
,1779038631.3462098,L:-18467 R:-10717
,1779038631.3482773,L:-18467 R:-10717
,1779038631.34943,L:-18467 R:-10717
,1779038631.3513181,L:-18467 R:-10717
,1779038631.3533287,L:-18467 R:-10717
,1779038631.3543768,L:-18467 R:-10717
,1779038631.3563318,L:-18467 R:-10717
,1779038631.35745,L:-18467 R:-10717
